schemaorg|range|description|comment|codemeta
applicationCategory|Text or URL|Type of software application, e.g. 'Game, Multimedia'.|In Codemeta also used for SoftwareSourceCode|yes
applicationSubCategory|Text or URL|Subcategory of the application, e.g. 'Arcade Game'.|In Codemeta also used for SoftwareSourceCode|yes
applicationSuite|Text|The name of the application suite to which the application belongs (e.g. Excel belongs to Office).|Not in Codemeta|no
author|Organization or Person|The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.||yes
availableOnDevice|Text|Device required to run the application. Used in cases where a specific make/model is required to run the application. Supersedes device.|Not in Codemeta|no
citation|CreativeWork or URL|A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.||yes
citation|ScholarlyArticle|An academic publication related to the software.|v2, v3|referencePublication
codeRepository|URL|Link to the repository where the un-compiled, human readable code and related code is located (SVN, GitHub, CodePlex, institutional GitLab instance, etc.).|In Codemeta also used for SoftwareApplication|yes
codeSampleType|Text|What type of code sample: full (compile ready) solution, code snippet, inline code, scripts, template. Supersedes sampleType.|Not in CodeMeta|no
contributor|Organization or Person|A secondary contributor to the CreativeWork or Event.||yes
copyrightHolder|Organization or Person|The party holding the legal copyright to the CreativeWork.||yes
copyrightYear|Number|The year during which the claimed copyright for the CreativeWork was first asserted.||yes
countriesNotSupported|Text|Countries for which the application is not supported. You can also provide the two-letter ISO 3166-1 alpha-2 country code.|Not in Codemeta|no
countriesSupported|Text|Countries for which the application is supported. You can also provide the two-letter ISO 3166-1 alpha-2 country code.|Not in Codemeta|no
dateCreated|Date|The date on which the CreativeWork was created or the item was added to a DataFeed.||yes
dateModified|Date|The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.||yes
datePublished|Date|Date of first broadcast/publication.||yes
description|Text|A description of the item.||yes
downloadUrl|URL|If the file can be downloaded, URL to download the binary.|In Codemeta also used for SoftwareSourceCode|yes
editor|Person|Specifies the Person who edited the CreativeWork.||yes
encoding|MediaObject|A media object that encodes this CreativeWork. This property is a synonym for associatedMedia. Supersedes encodings.||yes
